Month,Region,Category,Sales,Units_Sold,Profit,Profit_Margin_%
Mar 2023,North,Electronics,261428,1530,65645.71,25.11
Mar 2023,North,Clothing,248286,1294,37432.91,15.08
Mar 2023,North,Furniture,499036,1283,124617.46,24.97
Mar 2023,North,Groceries,405570,1209,129829.84,32.01
Mar 2023,North,Sports,421369,656,73279.62,17.39
Mar 2023,South,Electronics,159556,745,34166.31,21.41
Mar 2023,South,Clothing,293307,1679,59872.02,20.41
Mar 2023,South,Furniture,486157,1454,88036.35,18.11
Mar 2023,South,Groceries,125766,1471,23779.14,18.91
Mar 2023,South,Sports,437261,1348,73474.3,16.8
Mar 2023,East,Electronics,187848,727,35342.14,18.81
Mar 2023,East,Clothing,452690,1482,63903.51,14.12
Mar 2023,East,Furniture,186602,748,41277.76,22.12
Mar 2023,East,Groceries,278576,1942,46620.55,16.74
Mar 2023,East,Sports,215838,1950,39023.67,18.08
Mar 2023,West,Electronics,118840,1815,22687.44,19.09
Mar 2023,West,Clothing,489792,541,166828.95,34.06
Mar 2023,West,Furniture,364877,1930,81846.34,22.43
Mar 2023,West,Groceries,466880,1736,79934.58,17.12
Mar 2023,West,Sports,143264,798,36158.56,25.24
Mar 2023,Central,Electronics,162859,1689,17631.55,10.83
Mar 2023,Central,Clothing,481839,1348,124597.7,25.86
Mar 2023,Central,Furniture,227789,1253,53014.16,23.27
Mar 2023,Central,Groceries,175657,1795,41845.59,23.82
Mar 2023,Central,Sports,244806,935,29428.94,12.02
Apr 2023,North,Electronics,159751,222,25646.42,16.05
Apr 2023,North,Clothing,218229,379,47481.21,21.76
Apr 2023,North,Furniture,156081,297,31170.33,19.97
Apr 2023,North,Groceries,160078,851,47957.17,29.96
Apr 2023,North,Sports,405528,1247,92075.01,22.7
Apr 2023,South,Electronics,101663,1472,31982.13,31.46
Apr 2023,South,Clothing,183883,1054,28512.95,15.51
Apr 2023,South,Furniture,436393,1634,68349.59,15.66
Apr 2023,South,Groceries,183983,1834,26418.41,14.36
Apr 2023,South,Sports,134896,1763,30950.25,22.94
Apr 2023,East,Electronics,323255,740,86930.55,26.89
Apr 2023,East,Clothing,351528,250,82736.33,23.54
Apr 2023,East,Furniture,80306,362,21280.77,26.5
Apr 2023,East,Groceries,408745,723,97608.39,23.88
Apr 2023,East,Sports,423616,101,147868.85,34.91
Apr 2023,West,Electronics,425037,1775,101827.54,23.96
Apr 2023,West,Clothing,341999,1114,63186.86,18.48
Apr 2023,West,Furniture,430002,1782,121040.8,28.15
Apr 2023,West,Groceries,116690,503,37547.53,32.18
Apr 2023,West,Sports,438215,1796,114158.47,26.05
Apr 2023,Central,Electronics,193946,1748,27231.41,14.04
Apr 2023,Central,Clothing,234423,1975,57473.87,24.52
Apr 2023,Central,Furniture,438207,609,146813.96,33.5
Apr 2023,Central,Groceries,183272,1984,31335.89,17.1
Apr 2023,Central,Sports,333501,437,73838.27,22.14
May 2023,North,Electronics,307186,1843,107089.45,34.86
May 2023,North,Clothing,144179,260,15069.42,10.45
May 2023,North,Furniture,403556,915,115668.37,28.66
May 2023,North,Groceries,465615,1515,145414.29,31.23
May 2023,North,Sports,136416,739,33023.2,24.21
May 2023,South,Electronics,251163,1054,48205.45,19.19
May 2023,South,Clothing,331974,1145,53446.95,16.1
May 2023,South,Furniture,97333,1488,21577.32,22.17
May 2023,South,Groceries,449111,1406,93683.92,20.86
May 2023,South,Sports,491620,897,128448.43,26.13
May 2023,East,Electronics,483006,1059,152650.13,31.6
May 2023,East,Clothing,405323,1952,91115.94,22.48
May 2023,East,Furniture,152946,1315,39975.2,26.14
May 2023,East,Groceries,237563,1343,51666.66,21.75
May 2023,East,Sports,132989,1496,42672.65,32.09
May 2023,West,Electronics,213707,1868,72290.23,33.83
May 2023,West,Clothing,315564,596,75164.58,23.82
May 2023,West,Furniture,165294,1222,57040.13,34.51
May 2023,West,Groceries,174019,290,30701.17,17.64
May 2023,West,Sports,318246,1284,57039.39,17.92
May 2023,Central,Electronics,304079,117,72735.79,23.92
May 2023,Central,Clothing,466309,669,155049.71,33.25
May 2023,Central,Furniture,495101,1915,75369.07,15.22
May 2023,Central,Groceries,54014,953,10244.39,18.97
May 2023,Central,Sports,106958,254,18591.72,17.38
Jun 2023,North,Electronics,226089,884,70577.63,31.22
Jun 2023,North,Clothing,155864,1934,43209.83,27.72
Jun 2023,North,Furniture,417654,1600,72725.06,17.41
Jun 2023,North,Groceries,492905,1990,80861.92,16.41
Jun 2023,North,Sports,322791,624,38863.57,12.04
Jun 2023,South,Electronics,298710,1948,76760.59,25.7
Jun 2023,South,Clothing,308067,420,36270.34,11.77
Jun 2023,South,Furniture,287549,499,32404.51,11.27
Jun 2023,South,Groceries,137922,570,14744.44,10.69
Jun 2023,South,Sports,82097,933,17209.05,20.96
Jun 2023,East,Electronics,174862,953,31831.56,18.2
Jun 2023,East,Clothing,102921,674,35555.11,34.55
Jun 2023,East,Furniture,334821,413,105502.48,31.51
Jun 2023,East,Groceries,81024,1815,8889.04,10.97
Jun 2023,East,Sports,234078,1177,54837.6,23.43
Jun 2023,West,Electronics,163632,363,47862.1,29.25
Jun 2023,West,Clothing,53051,1743,13566.34,25.57
Jun 2023,West,Furniture,137235,873,15496.64,11.29
Jun 2023,West,Groceries,499395,1473,117437.12,23.52
Jun 2023,West,Sports,482950,1035,135961.45,28.15
Jun 2023,Central,Electronics,144476,469,33095.85,22.91
Jun 2023,Central,Clothing,395757,1782,118250.83,29.88
Jun 2023,Central,Furniture,394894,1910,82826.2,20.97
Jun 2023,Central,Groceries,424710,1469,45162.68,10.63
Jun 2023,Central,Sports,58308,1953,18016.88,30.9
Jul 2023,North,Electronics,270552,1112,30991.3,11.45
Jul 2023,North,Clothing,275913,612,58103.98,21.06
Jul 2023,North,Furniture,227247,1761,28057.81,12.35
Jul 2023,North,Groceries,70056,587,23374.43,33.37
Jul 2023,North,Sports,423632,1395,97085.47,22.92
Jul 2023,South,Electronics,79375,1570,16582.88,20.89
Jul 2023,South,Clothing,302764,346,33888.08,11.19
Jul 2023,South,Furniture,117215,1558,33929.23,28.95
Jul 2023,South,Groceries,405612,1343,45226.01,11.15
Jul 2023,South,Sports,390976,193,122713.74,31.39
Jul 2023,East,Electronics,241475,552,52772.78,21.85
Jul 2023,East,Clothing,289833,573,64604.93,22.29
Jul 2023,East,Furniture,406902,1735,58309.25,14.33
Jul 2023,East,Groceries,109101,456,21779.42,19.96
Jul 2023,East,Sports,73049,1881,18903.14,25.88
Jul 2023,West,Electronics,118385,1303,22925.63,19.37
Jul 2023,West,Clothing,73289,1782,16547.49,22.58
Jul 2023,West,Furniture,241232,1115,63847.7,26.47
Jul 2023,West,Groceries,447827,1139,52683.35,11.76
Jul 2023,West,Sports,416326,357,44391.94,10.66
Jul 2023,Central,Electronics,403151,259,135078.79,33.51
Jul 2023,Central,Clothing,199143,789,48459.81,24.33
Jul 2023,Central,Furniture,403824,1056,95465.69,23.64
Jul 2023,Central,Groceries,301492,1391,59250.91,19.65
Jul 2023,Central,Sports,88304,1291,28816.92,32.63
Aug 2023,North,Electronics,201836,496,31011.55,15.36
Aug 2023,North,Clothing,315517,1376,39001.29,12.36
Aug 2023,North,Furniture,150386,826,17715.04,11.78
Aug 2023,North,Groceries,75351,704,23450.65,31.12
Aug 2023,North,Sports,387497,1121,117650.72,30.36
Aug 2023,South,Electronics,332502,1319,90847.06,27.32
Aug 2023,South,Clothing,350657,1616,117176.26,33.42
Aug 2023,South,Furniture,57543,1543,11766.77,20.45
Aug 2023,South,Groceries,270156,860,64025.07,23.7
Aug 2023,South,Sports,88756,556,21490.5,24.21
Aug 2023,East,Electronics,164352,1222,33388.84,20.32
Aug 2023,East,Clothing,349985,1108,102931.72,29.41
Aug 2023,East,Furniture,269798,1313,64877.43,24.05
Aug 2023,East,Groceries,356955,1492,96364.0,27.0
Aug 2023,East,Sports,224358,316,35798.35,15.96
Aug 2023,West,Electronics,236141,1396,55158.26,23.36
Aug 2023,West,Clothing,484771,828,87264.79,18.0
Aug 2023,West,Furniture,116234,1142,22933.02,19.73
Aug 2023,West,Groceries,459995,544,150117.3,32.63
Aug 2023,West,Sports,480155,364,86345.51,17.98
Aug 2023,Central,Electronics,101934,1507,22489.72,22.06
Aug 2023,Central,Clothing,55486,243,11769.21,21.21
Aug 2023,Central,Furniture,152795,1148,36430.26,23.84
Aug 2023,Central,Groceries,399652,1607,134502.34,33.65
Aug 2023,Central,Sports,247775,668,31805.92,12.84
Sep 2023,North,Electronics,139780,1165,48023.1,34.36
Sep 2023,North,Clothing,400605,1346,45656.07,11.4
Sep 2023,North,Furniture,466930,1338,110419.11,23.65
Sep 2023,North,Groceries,139930,757,47878.87,34.22
Sep 2023,North,Sports,229208,1197,70880.5,30.92
Sep 2023,South,Electronics,253664,1376,78539.5,30.96
Sep 2023,South,Clothing,333821,1776,51957.27,15.56
Sep 2023,South,Furniture,243928,1045,78782.46,32.3
Sep 2023,South,Groceries,264532,128,32063.77,12.12
Sep 2023,South,Sports,339106,1771,65639.97,19.36
Sep 2023,East,Electronics,207504,1465,62915.19,30.32
Sep 2023,East,Clothing,483478,316,119889.1,24.8
Sep 2023,East,Furniture,216981,1375,26227.62,12.09
Sep 2023,East,Groceries,253196,975,60666.03,23.96
Sep 2023,East,Sports,168874,813,55152.32,32.66
Sep 2023,West,Electronics,65485,1574,10701.59,16.34
Sep 2023,West,Clothing,267841,1343,65050.08,24.29
Sep 2023,West,Furniture,80355,575,23447.49,29.18
Sep 2023,West,Groceries,206542,1484,59081.94,28.61
Sep 2023,West,Sports,89298,447,30409.82,34.05
Sep 2023,Central,Electronics,280907,1492,33911.89,12.07
Sep 2023,Central,Clothing,263920,1033,55181.44,20.91
Sep 2023,Central,Furniture,348539,784,119364.05,34.25
Sep 2023,Central,Groceries,346764,914,111930.49,32.28
Sep 2023,Central,Sports,405540,302,133738.55,32.98
Oct 2023,North,Electronics,309747,1350,84825.08,27.39
Oct 2023,North,Clothing,164065,146,42222.07,25.73
Oct 2023,North,Furniture,350557,1266,74891.34,21.36
Oct 2023,North,Groceries,160133,1382,52089.58,32.53
Oct 2023,North,Sports,205576,1070,34997.42,17.02
Oct 2023,South,Electronics,454191,883,146506.55,32.26
Oct 2023,South,Clothing,438043,1531,111715.49,25.5
Oct 2023,South,Furniture,210775,1245,30990.31,14.7
Oct 2023,South,Groceries,373673,1771,70376.85,18.83
Oct 2023,South,Sports,212993,639,25438.53,11.94
Oct 2023,East,Electronics,177016,839,61345.37,34.66
Oct 2023,East,Clothing,228677,1058,53515.93,23.4
Oct 2023,East,Furniture,390896,1847,97995.86,25.07
Oct 2023,East,Groceries,409151,1024,54538.31,13.33
Oct 2023,East,Sports,172402,1376,57777.59,33.51
Oct 2023,West,Electronics,106178,355,26044.47,24.53
Oct 2023,West,Clothing,179473,109,59797.19,33.32
Oct 2023,West,Furniture,467009,1374,51980.28,11.13
Oct 2023,West,Groceries,51015,1924,15018.85,29.44
Oct 2023,West,Sports,150497,323,52120.35,34.63
Oct 2023,Central,Electronics,178778,952,51379.83,28.74
Oct 2023,Central,Clothing,243752,1977,74902.81,30.73
Oct 2023,Central,Furniture,358684,1733,39170.25,10.92
Oct 2023,Central,Groceries,320846,484,33181.25,10.34
Oct 2023,Central,Sports,228998,617,62500.1,27.29
Nov 2023,North,Electronics,241172,1986,69331.57,28.75
Nov 2023,North,Clothing,392786,1560,96738.24,24.63
Nov 2023,North,Furniture,250244,776,72388.16,28.93
Nov 2023,North,Groceries,234402,1268,37567.89,16.03
Nov 2023,North,Sports,433432,100,146722.26,33.85
Nov 2023,South,Electronics,460316,1895,72343.59,15.72
Nov 2023,South,Clothing,349888,587,89057.71,25.45
Nov 2023,South,Furniture,86187,194,11065.5,12.84
Nov 2023,South,Groceries,326633,349,75150.72,23.01
Nov 2023,South,Sports,486341,870,111878.31,23.0
Nov 2023,East,Electronics,87131,1177,29798.23,34.2
Nov 2023,East,Clothing,175917,1857,52415.25,29.8
Nov 2023,East,Furniture,497087,866,53285.57,10.72
Nov 2023,East,Groceries,94238,1352,24037.98,25.51
Nov 2023,East,Sports,480657,174,73656.38,15.32
Nov 2023,West,Electronics,131317,1827,13609.19,10.36
Nov 2023,West,Clothing,56949,1429,14093.71,24.75
Nov 2023,West,Furniture,188013,1458,39364.04,20.94
Nov 2023,West,Groceries,387889,1431,91876.0,23.69
Nov 2023,West,Sports,409383,1458,81522.77,19.91
Nov 2023,Central,Electronics,120390,1229,37993.99,31.56
Nov 2023,Central,Clothing,297940,896,40748.77,13.68
Nov 2023,Central,Furniture,367623,1524,81990.62,22.3
Nov 2023,Central,Groceries,332107,1975,71331.25,21.48
Nov 2023,Central,Sports,273777,1897,61094.58,22.32
Dec 2023,North,Electronics,119836,225,30959.66,25.84
Dec 2023,North,Clothing,193087,210,25529.95,13.22
Dec 2023,North,Furniture,261791,194,52377.87,20.01
Dec 2023,North,Groceries,203487,1643,29509.04,14.5
Dec 2023,North,Sports,437971,1819,88871.02,20.29
Dec 2023,South,Electronics,264879,1318,60606.7,22.88
Dec 2023,South,Clothing,427503,160,63301.33,14.81
Dec 2023,South,Furniture,467170,1912,66447.35,14.22
Dec 2023,South,Groceries,161195,781,23252.8,14.43
Dec 2023,South,Sports,391396,937,50943.7,13.02
Dec 2023,East,Electronics,416824,623,63183.61,15.16
Dec 2023,East,Clothing,101745,1201,18570.99,18.25
Dec 2023,East,Furniture,262890,1196,32354.57,12.31
Dec 2023,East,Groceries,334718,1244,91025.28,27.19
Dec 2023,East,Sports,309127,449,43044.21,13.92
Dec 2023,West,Electronics,430975,1696,43377.1,10.06
Dec 2023,West,Clothing,114291,1380,13843.98,12.11
Dec 2023,West,Furniture,362572,1815,55233.25,15.23
Dec 2023,West,Groceries,443271,825,70493.0,15.9
Dec 2023,West,Sports,340843,177,73497.23,21.56
Dec 2023,Central,Electronics,197820,765,21596.17,10.92
Dec 2023,Central,Clothing,308930,1130,83964.51,27.18
Dec 2023,Central,Furniture,394982,849,113519.43,28.74
Dec 2023,Central,Groceries,379211,1397,80337.02,21.19
Dec 2023,Central,Sports,155186,1138,19587.16,12.62
